EJ200PS_1X1P-20181115   4.33751   13.67   ok
EJ200PS_1X2P-20181115   4.27079   13.41   ok
EJ200PS_2X1P-20181115   4.34474   13.74   ok
EJ200PVT_1X1P-20181116  3.30484   10.64   ok
EJ200PVT_1X2P-20181116  3.71039   11.87   ok
EJ200PVT_2X1P-20181115  3.53701   11.36   ok (check UnIrr)
EJ260PS_1X1P-20181115   4.43721   13.20   ~2
EJ260PS_1X2P-20181115   4.43721   13.20   1.2 & 3.2
EJ260PS_2X1P-20181115   5.99508   17.77   2-3
EJ260PVT_1X1P-20181115
EJ260PVT_1X2P-20181115
EJ260PVT_2X1P-20181115
